item_a,item_b,confidence
102,477,0.3
78,216,0.3
102,256,0.2
78,256,0.4
146,256,0.6
216,256,0.2
146,477,0.2
142,484,0.6
344,435,0.3
344,484,0.2
134,390,0.2
142,390,0.2
344,390,0.2
134,435,0.4
142,344,0.2
142,351,0.2
351,435,0.2
221,354,0.3
79,354,0.3
79,371,0.4
168,177,0.4
5,44,0.3
177,354,0.5
5,168,0.2
5,79,0.2
5,177,0.2
5,180,0.2
5,26,0.2
168,261,0.4
261,371,0.8
44,177,0.2
26,44,0.2
26,79,0.2
177,180,0.2
177,278,0.2
26,177,0.2
180,371,0.2
180,278,0.5
26,221,0.3
240,426,0.3
176,426,0.3
176,321,0.2
383,426,0.3
176,383,0.4
105,466,0.4
38,386,0.7
105,133,0.2
133,462,0.3
133,466,0.2
133,249,0.3
133,283,0.4
38,201,0.2
38,462,0.2
38,283,0.3
105,283,0.2
201,249,0.4
462,466,0.2
283,462,0.2
249,466,0.5
283,466,0.2
249,283,0.2
36,105,0.3
162,206,0.7
206,366,0.3
36,162,0.2
162,359,0.2
162,383,0.2
36,457,0.2
36,206,0.2
359,383,0.3
105,457,0.2
92,105,0.2
206,457,0.2
92,457,0.2
92,383,0.2
339,372,0.4
137,321,0.4
321,399,0.2
137,372,0.2
339,345,0.2
345,372,0.2
323,327,0.2
327,472,0.3
122,139,0.3
45,260,0.3
11,45,0.4
76,192,0.2
11,192,0.4
122,192,0.2
122,260,0.2
76,139,0.3
139,431,0.2
45,76,0.4
11,76,0.3
11,122,0.3
216,431,0.2
122,216,0.2
105,429,0.3
111,429,0.2
51,111,0.3
111,349,0.4
51,116,0.2
51,349,0.2
172,318,0.4
111,123,0.3
111,231,0.4
65,231,0.4
81,261,0.4
65,261,0.3
65,123,0.2
254,261,0.2
261,318,0.4
81,231,0.2
231,309,0.2
231,318,0.2
172,368,0.5
172,309,0.2
111,254,0.2
309,368,0.2
318,368,0.4
81,318,0.2
309,318,0.2
254,318,0.2
186,313,0.3
12,186,0.2
264,346,0.3
346,459,0.3
360,459,0.3
433,473,0.3
433,476,0.3
439,476,0.3
346,360,0.2
301,439,0.2
301,346,0.2
301,476,0.2
399,433,0.2
399,439,0.2
149,439,0.3
149,346,0.3
346,473,0.2
162,178,0.3
84,162,0.3
84,153,0.3
25,89,0.3
89,162,0.2
89,178,0.4
89,153,0.2
153,162,0.4
485,487,0.2
84,485,0.2
153,485,0.2
6,51,0.2
25,178,0.2
51,153,0.4
19,483,0.6
164,493,0.3
45,164,0.4
45,449,0.4
449,483,0.5
76,449,0.4
449,493,0.4
19,449,0.2
87,449,0.2
45,483,0.2
42,76,0.2
42,45,0.2
19,76,0.2
45,493,0.2
19,493,0.2
87,493,0.4
45,87,0.2
151,391,0.3
391,438,0.4
151,247,0.7
21,132,0.3
21,175,0.3
186,407,0.4
345,407,0.3
309,469,0.3
102,469,0.3
102,344,0.3
79,270,0.3
160,270,0.3
132,160,0.2
160,186,0.4
79,344,0.8
147,344,0.2
309,344,0.8
344,407,0.4
132,407,0.2
102,270,0.3
102,175,0.3
102,345,0.5
21,270,0.2
270,469,0.2
270,345,0.2
175,407,0.3
79,147,0.2
79,309,0.2
79,345,0.2
79,186,0.2
79,156,0.2
147,309,0.4
147,407,0.2
147,469,0.2
147,186,0.2
21,309,0.2
21,469,0.3
309,407,0.4
156,407,0.3
186,469,0.2
230,393,0.3
132,230,0.3
105,132,0.3
381,398,0.3
466,482,0.4
265,466,0.3
153,265,0.5
52,153,0.4
52,120,0.3
132,482,0.3
72,482,0.2
52,482,0.2
153,482,0.2
132,398,0.2
132,153,0.3
132,283,0.2
105,230,0.2
230,398,0.3
52,230,0.2
153,230,0.3
230,283,0.2
52,393,0.3
105,120,0.2
265,398,0.2
52,265,0.4
398,466,0.4
52,466,0.2
381,466,0.2
52,381,0.2
153,283,0.2
153,381,0.2
4,274,0.3
64,357,0.3
64,273,0.3
64,205,0.2
15,64,0.2
4,357,0.2
233,357,0.2
273,357,0.2
205,233,0.2
205,274,0.5
15,273,0.4
273,274,0.2
30,283,0.3
276,442,0.3
413,442,0.3
18,147,0.3
147,323,0.4
79,323,0.3
276,323,0.4
323,442,0.6
323,413,0.2
30,323,0.2
283,360,0.3
360,413,0.2
79,413,0.2
30,79,0.3
18,442,0.2
18,413,0.4
30,147,0.2
30,276,0.2
283,413,0.2
30,413,0.2
42,235,0.3
235,247,0.3
27,293,0.3
27,146,0.3
249,319,0.3
249,256,0.3
256,319,0.2
249,293,0.2
146,235,0.4
247,249,0.2
247,319,0.2
27,249,0.4
74,213,0.3
74,367,0.3
405,413,0.3
145,405,0.3
145,402,0.4
97,402,0.3
297,402,0.7
297,353,0.3
353,485,0.3
92,485,0.3
160,402,0.2
160,413,0.2
97,129,0.2
129,353,0.2
5,129,0.4
129,213,0.2
129,405,0.2
97,353,0.2
5,97,0.2
97,367,0.2
97,145,0.2
213,353,0.2
353,405,0.2
297,485,0.2
74,485,0.2
413,485,0.2
5,297,0.3
5,74,0.4
5,145,0.4
5,213,0.2
213,297,0.2
92,297,0.2
297,413,0.2
74,405,0.2
92,145,0.4
145,413,0.5
402,405,0.2
213,413,0.2
116,267,0.4
90,229,0.3
209,229,0.3
131,196,0.3
196,267,0.2
209,267,0.2
90,267,0.2
209,237,0.3
304,308,0.3
304,324,0.3
18,324,0.3
351,363,0.3
18,304,0.2
18,216,0.2
399,429,0.3
369,435,0.3
221,250,0.4
226,429,0.3
250,369,0.2
45,337,0.4
45,98,0.3
258,418,0.3
98,237,0.4
98,337,0.2
45,418,0.4
102,258,0.2
105,258,0.2
102,127,0.2
45,457,0.2
127,457,0.2
42,49,0.3
24,34,0.3
34,407,0.2
287,407,0.3
42,439,0.2
24,49,0.2
49,186,0.2
24,439,0.2
24,186,0.2
7,50,0.3
107,351,0.3
107,138,0.4
198,271,0.4
198,393,0.7
4,198,0.3
